,标识符,机型,始发地,出发,到达
1088,DKH1157,A321,Shanghai Hongqiao Int'l (SHA / ZSSS),Mon 06:04PM CST,Mon 08:27PM CST
1089,CJX8946,B738,Huai'an Lianshui (HIA / ZSSH),Mon 05:57PM CST,Mon 08:14PM CST
1090,CES2965,A321,Changsha Huanghua Int'l (CSX / ZGHA),Mon 06:58PM CST,Mon 08:11PM CST
1091,GDC7159,B738,Beijing Capital Int'l (PEK / ZBAA),Mon 04:55PM CST,Mon 08:08PM CST
1092,HXA2837,A321,Meixian (MXZ / ZGMX),Mon 06:59PM CST,Mon 07:55PM CST
1093,CCA4050,B737,Dachuan (DAX / ZUDX),Mon 06:05PM CST,Mon 07:50PM CST
1094,CXA8343,B738,Quanzhou Jinjiang (JJN / ZSQZ),Mon 06:28PM CST,Mon 07:42PM CST
1095,CXA8369,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Mon 05:26PM CST,Mon 07:36PM CST
1096,CSN3734,B738,Beijing Daxing International Airport (PKX / ZBAD),Mon 04:20PM CST,Mon 07:13PM CST
1097,CDG4805,B738,Wenzhou Int'l (WNZ / ZSWZ),Mon 05:15PM CST,Mon 07:10PM CST
1098,CSH9497,737,Shanghai Hongqiao Int'l (SHA / ZSSS),Mon 04:47PM CST,Mon 07:06PM CST
1099,CSN3720,B738,Changsha Huanghua Int'l (CSX / ZGHA),Mon 05:47PM CST,Mon 07:02PM CST
1100,CSH9215,B738,Shanghai Pudong Int'l (PVG / ZSPD),Mon 04:23PM CST,Mon 07:00PM CST
1101,CSN8702,B738,Luzhou (LZO / ZULZ),Mon 04:24PM CST,Mon 06:10PM CST
1102,CDG8841,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Mon 04:35PM CST,Mon 06:07PM CST
1103,CES2341,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Mon 03:15PM CST,Mon 05:30PM CST
1104,CSZ8315,B738,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 03:17PM CST,Mon 05:26PM CST
1105,CSN8966,B738,Beijing Daxing International Airport (PKX / ZBAD),Mon 02:16PM CST,Mon 05:16PM CST
1106,CSN3759,B738,Wuhan Tianhe (WUH / ZHHH),Mon 02:49PM CST,Mon 04:28PM CST
1107,CSN6581,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 02:05PM CST,Mon 04:14PM CST
1108,CES9768,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 01:59PM CST,Mon 04:11PM CST
1109,CSN3732,B738,Beijing Daxing International Airport (PKX / ZBAD),Mon 01:03PM CST,Mon 04:07PM CST
1110,CSZ8310,A320,Ningbo Lishe Int'l (NGB / ZSNB),Mon 01:52PM CST,Mon 04:01PM CST
1111,CSN3762,B738,Xi'an Xianyang Int'l (XIY / ZLXY),Mon 01:22PM CST,Mon 03:41PM CST
1112,CSN6247,A320,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 01:30PM CST,Mon 03:38PM CST
1113,CSN6247,A320,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 01:30PM CST,Mon 03:38PM CST
1114,SNG4301,A321,Hefei Xinqiao Airport (HFE / ZSOF),Mon 12:51PM CST,Mon 03:10PM CST
1115,CDG2265,B738,Tianjin Binhai Int'l (TSN / ZBTJ),Mon 11:56AM CST,Mon 03:06PM CST
1116,CSN3690,B738,Shanghai Pudong Int'l (PVG / ZSPD),Mon 12:30PM CST,Mon 03:03PM CST
1117,CSN6619,A320,Jinan Yaoqiang (TNA / ZSJN),Mon 12:08PM CST,Mon 03:00PM CST
1118,CSH9297,737,Jieyang Chaoshan International Airport (SWA / ZGOW),Mon 01:51PM CST,Mon 02:51PM CST
1119,CDG2189,B738,Hefei Xinqiao Airport (HFE / ZSOF),Mon 12:32PM CST,Mon 02:47PM CST
1120,CBG8867,A320,Haikou Meilan Int'l (HAK / ZJHK),Mon 02:00PM CST,Mon 02:45PM CST
1121,CCA8663,B732,Beijing Capital Int'l (PEK / ZBAA),Mon 11:22AM CST,Mon 02:36PM CST
1122,CSN6704,B738,Sanya Phoenix Int'l (SYX / ZJSY),Mon 01:26PM CST,Mon 02:27PM CST
1123,CXA8355,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Mon 12:53PM CST,Mon 02:21PM CST
1124,CBG2022,E190,Shiyan Wudangshan (WDS / ZHSY),Mon 02:20PM CST,04:55PM CST (?)
1125,CUA2385,737,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Mon 11:21AM CST,Mon 02:19PM CST
1126,CDC8579,A320,Yinchuan Helanshan (INC / ZLIC),Mon 11:21AM CST,Mon 02:12PM CST
1127,QDA6095,A320,Nanyang (NNY / ZHNY),Mon 12:09PM CST,Mon 02:10PM CST
1128,CDG1157,B738,Beijing Capital Int'l (PEK / ZBAA),Mon 10:54AM CST,Mon 02:06PM CST
1129,CSN3730,B738,Ningbo Lishe Int'l (NGB / ZSNB),Mon 11:50AM CST,Mon 02:01PM CST
1130,CDG1157,B738,Beijing Capital Int'l (PEK / ZBAA),Mon 10:54AM CST,Mon 02:06PM CST
1131,CSN3730,B738,Ningbo Lishe Int'l (NGB / ZSNB),Mon 11:50AM CST,Mon 02:01PM CST
1132,CSN3846,B738,Haikou Meilan Int'l (HAK / ZJHK),Mon 01:12PM CST,Mon 01:57PM CST
1133,CSC8063,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Mon 11:42AM CST,Mon 01:46PM CST
1134,CDC8009,A320,Xuzhou (XUZ / ZSXZ),Mon 11:14AM CST,Mon 01:42PM CST
1135,CSN6292,B738,Wuhan Tianhe (WUH / ZHHH),Mon 11:53AM CST,Mon 01:31PM CST
1136,CCA1433,B738,Beijing Daxing International Airport (PKX / ZBAD),Mon 10:17AM CST,Mon 01:21PM CST
1137,CXA8559,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Mon 12:01PM CST,Mon 01:11PM CST
1138,CSN8939,A321,Beijing Daxing International Airport (PKX / ZBAD),Mon 09:47AM CST,Mon 12:59PM CST
1139,CCA1479,A321,Beijing Capital Int'l (PEK / ZBAA),Mon 09:36AM CST,Mon 12:56PM CST
1140,CCA4559,B737,Chongqing Jiangbei Int'l (CKG / ZUCK),Mon 11:03AM CST,Mon 12:54PM CST
1141,CHH7557,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 10:29AM CST,Mon 12:50PM CST
1142,CCA4055,B737,Yinchuan Helanshan (INC / ZLIC),Mon 09:53AM CST,Mon 12:47PM CST
1143,CHH7471,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Mon 10:40AM CST,Mon 12:43PM CST
1144,CSN6439,A320,Qingdao Liuting Int'l (TAO / ZSQD),Mon 09:27AM CST,Mon 12:33PM CST
1145,CSN3790,B738,Kunming Changshui Int'l (KMG / ZPPP),Mon 10:51AM CST,Mon 12:24PM CST
1146,CSN3774,B738,Changde Taohuayuan (CGD / ZGCD),Mon 10:50AM CST,Mon 12:17PM CST
1147,CDG2155,B738,Haikou Meilan Int'l (HAK / ZJHK),Mon 11:20AM CST,Mon 12:07PM CST
1148,GCR7875,A320,Yichun Mingyueshan (YIC / ZSYC),Mon 10:21AM CST,Mon 11:44AM CST
