,标识符,机型,始发地,出发,到达
2349,DKH1288,B789,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 10:17PM CST,Thu 11:48PM CST
2350,DKH1128,A321,Sanya Phoenix Int'l (SYX / ZJSY),Thu 09:22PM CST,Thu 11:43PM CST
2351,CQH8830,A320,Changde Taohuayuan (CGD / ZGCD),Thu 10:16PM CST,Thu 11:42PM CST
2352,CES5360,B789,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 09:56PM CST,Thu 11:40PM CST
2353,CQH8886,A320,Guiyang Longdongbao (KWE / ZUGY),Thu 09:50PM CST,Thu 11:40PM CST
2354,CES5690,A320,Hohhot Baita Int'l (HET / ZBHH),Thu 09:28PM CST,Thu 11:36PM CST
2355,CSH9522,B789,Sanya Phoenix Int'l (SYX / ZJSY),Thu 08:53PM CST,Thu 11:35PM CST
2356,CSN3589,A321,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 09:52PM CST,Thu 11:33PM CST
2357,CES5166,B773,Beijing Capital Int'l (PEK / ZBAA),Thu 09:54PM CST,Thu 11:32PM CST
2358,CQH8780,A320,Sanya Phoenix Int'l (SYX / ZJSY),Thu 09:02PM CST,Thu 11:28PM CST
2359,CQH8738,A320,Dongying Shengli (DOY / ZSDY),Thu 10:04PM CST,Thu 11:26PM CST
2360,CQH8864,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 10:15PM CST,Thu 11:25PM CST
2361,CQH8846,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 09:38PM CST,Thu 11:23PM CST
2362,CSH9428,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 09:36PM CST,Thu 11:21PM CST
2363,CSH9532,B738,Haikou Meilan Int'l (HAK / ZJHK),Thu 09:03PM CST,Thu 11:20PM CST
2364,DKH1134,A320,Taiyuan Wusu (TYN / ZBYN),Thu 09:34PM CST,Thu 11:18PM CST
2365,DKH1198,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 09:55PM CST,Thu 11:16PM CST
2366,CES6356,A321,Changchun Longjia Int'l (CGQ / ZYCC),Thu 08:40PM CST,Thu 11:14PM CST
2367,CES5446,A320,Guiyang Longdongbao (KWE / ZUGY),Thu 09:32PM CST,Thu 11:13PM CST
2368,CSH9498,737,Zhuhai Int'l (ZUH / ZGSD),Thu 09:18PM CST,Thu 11:11PM CST
2369,DKH1250,B789,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 09:27PM CST,Thu 11:11PM CST
2370,CHH7603,B738,Beijing Capital Int'l (PEK / ZBAA),Thu 09:26PM CST,Thu 11:08PM CST
2371,CES5478,A359,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 08:55PM CST,Thu 11:05PM CST
2372,CQH8910,A320,Quanzhou Jinjiang (JJN / ZSQZ),Thu 09:52PM CST,Thu 11:03PM CST
2373,CES6382,A320,Xinyang Minggang Airport (XAI / ZHXY),Thu 09:56PM CST,Thu 11:01PM CST
2374,DKH1096,A320,Bijie Feixiong (BFJ / ZUBJ),Thu 09:02PM CST,Thu 10:58PM CST
2375,CSH9364,B738,Wuhan Tianhe (WUH / ZHHH),Thu 09:49PM CST,Thu 10:58PM CST
2376,CES9086,A320,Yinchuan Helanshan (INC / ZLIC),Thu 08:47PM CST,Thu 10:56PM CST
2377,DKH1226,B789,Sanya Phoenix Int'l (SYX / ZJSY),Thu 08:34PM CST,Thu 10:55PM CST
2378,CSH9062,737,Tianjin Binhai Int'l (TSN / ZBTJ),Thu 09:19PM CST,Thu 10:52PM CST
2379,CES6338,A321,Harbin Taiping Int'l (HRB / ZYHB),Thu 07:56PM CST,Thu 10:50PM CST
2380,CQH8950,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 09:15PM CST,Thu 10:49PM CST
2381,CES5128,A333,Beijing Capital Int'l (PEK / ZBAA),Thu 09:03PM CST,Thu 10:46PM CST
2382,CSH9426,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 08:51PM CST,Thu 10:44PM CST
