,标识符,机型,始发地,出发,到达
224,CSH875,B738,Shanghai Pudong Int'l (PVG / ZSPD),Sun 10:11AM CST,Sun 12:34PM CST
225,EVA801,A332,Taiwan Taoyuan Int'l (TPE / RCTP),Sun 10:15AM CST,Sun 11:44AM CST
226,AMU631,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Sun 10:07AM CST,Sun 11:37AM CST
227,PVV8641,B742,Seeb Int'l (MCT / OOMS),Sat 08:27PM +04,Sun 06:48AM CST
228,AMU631,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Sun 10:07AM CST,Sun 11:37AM CST
229,PVV8641,B742,Seeb Int'l (MCT / OOMS),Sat 08:27PM +04,Sun 06:48AM CST
230,AMU9,A321,Beijing Capital Int'l (PEK / ZBAA),Sat 08:24PM CST,Sat 11:44PM CST
231,AMU615,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Sat 09:44PM CST,Sat 11:09PM CST
232,AMU131,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Sat 08:25PM CST,Sat 09:30PM CST
233,GJW29LO,A332,Hong Kong Int'l (HKG / VHHH),Sat 08:22PM HKT,Sat 08:40PM CST
234,SJX205,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Sat 06:42PM CST,Sat 08:15PM CST
235,AMU1,A321,Beijing Capital Int'l (PEK / ZBAA),Sat 04:24PM CST,Sat 07:50PM CST
236,AMU225,A321,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Sat 05:35PM CST,Sat 07:26PM CST
237,AMU127,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Sat 04:37PM CST,Sat 06:48PM CST
238,AMU161,A320,Ningbo Lishe Int'l (NGB / ZSNB),Sat 03:56PM CST,Sat 05:58PM CST
239,AMU109,A321,Shanghai Pudong Int'l (PVG / ZSPD),Sat 02:48PM CST,Sat 05:05PM CST
240,CXA841,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Sat 01:56PM CST,Sat 04:01PM CST
241,CES2007,A321,Shanghai Pudong Int'l (PVG / ZSPD),Sat 12:52PM CST,Sat 03:21PM CST
242,AMU109,A321,Shanghai Pudong Int'l (PVG / ZSPD),Sat 02:48PM CST,Sat 05:05PM CST
243,CXA841,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Sat 01:56PM CST,Sat 04:01PM CST
244,CES2007,A321,Shanghai Pudong Int'l (PVG / ZSPD),Sat 12:52PM CST,Sat 03:21PM CST
245,PVV8641,B742,Seeb Int'l (MCT / OOMS),Thu 10:01PM +04,Fri 08:15AM CST
