,标识符,机型,始发地,出发,到达
4569,CSN3638,E190,Ganzhou Huangjin (KOW / ZSGZ),Wed 08:47PM CST,Wed 09:41PM CST
4570,CSN6315,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Wed 05:56PM CST,Wed 09:41PM CST
4571,CES5231,A320,Nanchang Changbei Int'l (KHN / ZSCN),Wed 08:18PM CST,Wed 09:39PM CST
4572,CSN3322,RJ85,Zhanjiang (ZHA / ZGZJ),Wed 08:50PM CST,Wed 09:37PM CST
4573,CSN3100,B77W,Beijing Daxing International Airport (PKX / ZBAD),Wed 06:53PM CST,Wed 09:36PM CST
4574,CSN6422,B737,Xishuangbanna Gasa (JHG / ZPJH),Wed 07:55PM CST,Wed 09:34PM CST
4575,CSN3389,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Wed 07:29PM CST,Wed 09:34PM CST
4576,CHH7827,B738,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 07:21PM CST,Wed 09:32PM CST
4577,CES5315,B732,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 07:25PM CST,Wed 09:32PM CST
4578,CSN3386,A320,Lanzhou Zhongchuan International (LHW / ZLLL),Wed 06:52PM CST,Wed 09:32PM CST
4579,CSC8203,A320,Kunming Changshui Int'l (KMG / ZPPP),Wed 08:03PM CST,Wed 09:30PM CST
4580,CSN3684,B738,Yiwu (YIW / ZSYW),Wed 07:48PM CST,Wed 09:30PM CST
4581,CSZ9694,B738,Yangzhou Taizhou (YTY / ZSYA),Wed 07:15PM CST,Wed 09:27PM CST
4582,CDC8101,A320,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 07:27PM CST,Wed 09:25PM CST
4583,CHH7034,B738,Tongren Daxing (TEN / ZUTR),Wed 08:17PM CST,Wed 09:22PM CST
4584,CSN3848,A359,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 07:36PM CST,Wed 09:22PM CST
4585,CSN3750,A320,Taiyuan Wusu (TYN / ZBYN),Wed 07:00PM CST,Wed 09:20PM CST
4586,CSN3144,A21N,Tianjin Binhai Int'l (TSN / ZBTJ),Wed 06:33PM CST,Wed 09:20PM CST
4587,FDX6053,B763,Penang Int'l (PEN / WMKP),Wed 09:18PM +08,12:53AM CST (+1) (?)
4588,CHH6103,B738,Haikou Meilan Int'l (HAK / ZJHK),Wed 08:36PM CST,Wed 09:17PM CST
4589,CSN3818,B738,Hefei Xinqiao Airport (HFE / ZSOF),Wed 07:25PM CST,Wed 09:16PM CST
4590,CCA1925,A321,Wenzhou Int'l (WNZ / ZSWZ),Wed 07:48PM CST,Wed 09:12PM CST
4591,CSN3572,A359,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 07:19PM CST,Wed 09:09PM CST
4592,CSN3464,A319,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 07:41PM CST,Wed 09:07PM CST
4593,CCA1309,A332,Beijing Capital Int'l (PEK / ZBAA),Wed 06:13PM CST,Wed 09:04PM CST
4594,CCA8249,A320,Wuhan Tianhe (WUH / ZHHH),Wed 07:37PM CST,Wed 09:00PM CST
4595,CCA8249,A320,Wuhan Tianhe (WUH / ZHHH),Wed 07:37PM CST,Wed 09:00PM CST
4596,CSN8124,B789,San Francisco Intl (KSFO),Tue 03:08PM PST,Wed 08:58PM CST
4597,CSN8287,A320,Changsha Huanghua Int'l (CSX / ZGHA),Wed 07:52PM CST,Wed 08:58PM CST
4598,CSN3528,A21N,Wenzhou Int'l (WNZ / ZSWZ),Wed 07:24PM CST,Wed 08:57PM CST
4599,CSN8238,A321,Changchun Longjia Int'l (CGQ / ZYCC),Wed 05:01PM CST,Wed 08:55PM CST
4600,CSH9317,B789,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 06:53PM CST,Wed 08:52PM CST
